RAL 6021; Blaugrün; 133, 166, 122
RAL 6022; Braunoliv; 43, 38, 28 
RAL 6024; Verkehrsgrün; 36, 145, 64
RAL 6025; Farngrün; 74, 110, 51
RAL 6026; Opalgrün; 10, 92, 51
RAL 6027; Lichtgrün; 125, 204, 189
RAL 6028; Kieferngrün; 38, 74, 51
RAL 6029; Minzgrün; 18, 120, 38
RAL 6032; Signalgrün; 41, 138, 64
RAL 6033; Minttürkis; 66, 140, 120
RAL 6034; Pastelltürkis; 125, 189, 181
RAL 7000; Fehgrau; 115, 133, 145 
RAL 7001; Silbergrau; 135, 148, 166 
RAL 7002; Olivgrau; 122, 117, 97 
RAL 7003; Moosgrau; 112, 112, 97 
RAL 7004; Signalgrau; 156, 156, 166 
RAL 7005; Mausgrau; 97, 105, 105 
RAL 7006; Beigegrau; 107, 97, 87 
RAL 7008; Khakigrau; 105, 84, 56 
RAL 7009; Grüngrau; 77, 82, 74
RAL 7010; Zeltgrau; 74, 79, 74 
RAL 7011; Eisengrau; 64, 74, 84 
RAL 7012; Basaltgrau; 74, 84, 89 
RAL 7013; Braungrau; 71, 66, 56 
RAL 7015; Schiefergrau; 61, 66, 82 
RAL 7016; Anthrazitgrau; 38, 46, 56 
RAL 7021; Schwarzgrau; 26, 33, 41 
RAL 7022; Umbragrau; 61, 61, 59 
RAL 7023; Betongrau; 122, 125, 117 
RAL 7024; Graphitgrau; 48, 56, 69 
RAL 7026; Granitgrau; 38, 51, 56 
RAL 7030; Steingrau; 145, 143, 135 
RAL 7031; Blaugrau; 77, 92, 107 
RAL 7032; Kieselgrau; 189, 186, 171 
RAL 7033; Zementgrau; 122, 130, 117 
RAL 7034; Gelbgrau; 143, 135, 112 
RAL 7035; Lichtgrau; 212, 217, 219 
RAL 7036; Platingrau; 158, 150, 156 
RAL 7037; Staubgrau; 122, 125, 128 
RAL 7038; Achatgrau; 186, 189, 186 
RAL 7039; Quarzgrau; 97, 94, 89 
RAL 7040; Fenstergrau; 158, 163, 176 
RAL 7042; Verkehrsgrau A; 143, 150, 153 
RAL 7043; Verkehrsgrau B; 64, 69, 69 
RAL 7044; Seidengrau; 194, 191, 184 
RAL 7045; Telegrau 1; 143, 148, 158 
RAL 7046; Telegrau 2; 120, 130, 140 
RAL 7047; Telegrau 4; 217, 214, 219 
RAL 8000; Grünbraun; 125, 92, 56
RAL 8001; Ockerbraun; 145, 82, 46 
RAL 8002; Signalbraun; 110, 59, 48 
RAL 8003; Lehmbraun; 115, 59, 36 
RAL 8004; Kupferbraun; 133, 56, 43 
RAL 8007; Rehbraun; 94, 51, 31 
RAL 8008; Olivbraun; 99, 61, 36 
RAL 8011; Nussbraun; 71, 38, 28
RAL 8012; Rotbraun; 84, 31, 31 
RAL 8014; Sepiabraun; 56, 38, 28 
RAL 8015; Kastanienbraun; 77, 31, 28 
RAL 8016; Mahagonibraun; 61, 31, 28
RAL 8017; Schokoladenbraun; 46, 28, 28 
RAL 8019; Graubraun; 43, 38, 41 
RAL 8022; Schwarzbraun; 13, 8, 13 
RAL 8023; Orangebraun; 156, 69, 41 
RAL 8024; Beigebraun; 110, 64, 48 
